ticker,company,sector,sub_industry,headquarters,date_added,founded,market_cap,market_cap_billions
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1993,4161988460544,4161.988460544
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,1977,3716958388224,3716.958388224
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1998,3398289588224,3398.289588224
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1998,3396111695872,3396.111695872
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,1975,2720027377664,2720.027377664
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,1994,2227925417984,2227.925417984
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",2014-05-08,1961,1467021262848,1467.021262848
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2020-12-21,2003,1396317356032,1396.317356032
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,2004,1385032712192,1385.032712192
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1839,1025096024064,1025.096024064
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1982-08-31,1962,974068187136,974.068187136
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,1876,802831794176,802.831794176
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975-06-30,2000 (1799 / 1871),786616483840,786.61648384
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,1999,689307648000,689.307648
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",2009-12-21,1958,589073940480,589.07394048
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,1886,576544243712,576.544243712
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",2008-07-18,1966,446888181760,446.88818176
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,1976,434836668416,434.836668416
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"Houston, Texas",1957-03-04,1879,415445680128,415.445680128
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1989-08-31,1977,410728136704,410.728136704
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,1978,400864313344,400.864313344
